Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/probe0_1,design_1_i/system_ila_0/inst/probe1_1[15:0],design_1_i/system_ila_0/inst/probe2_1[15:0],design_1_i/system_ila_0/inst/probe3_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,HEX,HEX
666,666,0,1,-1282,f31f,f112
667,667,0,1,-1282,f31f,f112
668,668,0,1,-1282,f024,f013
669,669,0,1,-1282,f024,f013
670,670,0,1,-1282,f024,f013
671,671,0,1,-1537,f024,f013
672,672,0,1,-1537,f024,f013
673,673,0,1,-1537,f024,f013
674,674,0,1,-1537,f024,f013
675,675,0,1,-1537,f024,f013
676,676,0,1,-1537,f024,f013
677,677,0,1,-1537,f024,f013
678,678,0,1,-1537,f024,f013
679,679,0,1,-1537,f024,f013
680,680,0,1,-1792,f024,ef14
681,681,0,1,-1792,f024,ef14
682,682,0,1,-1792,f024,ef14
683,683,0,1,-1792,ee28,ed17
684,684,0,1,-1792,ee28,ed17
685,685,0,1,-1792,ee28,ed17
686,686,0,1,-2047,ed29,ed17
687,687,0,1,-2047,ed29,ed17
688,688,0,1,-2047,ed29,ed17
689,689,0,1,-2047,ed29,ed17
690,690,0,1,-2047,ed29,ed17
691,691,0,1,-2047,ed29,ed17
692,692,0,1,-2047,ed29,ed17
693,693,0,1,-2047,ed29,ed17
694,694,0,1,-2047,ed29,ed17
695,695,0,1,-2047,ed29,ed17
696,696,0,1,-2047,ed29,ed17
697,697,0,1,-2047,ed29,ed17
698,698,0,1,-2302,ec2b,ea1b
699,699,0,1,-2302,ec2b,ea1b
700,700,0,1,-2302,ec2b,ea1b
701,701,0,1,-2557,ea2e,ea1b
702,702,0,1,-2557,ea2e,ea1b
703,703,0,1,-2557,ea2e,ea1b
704,704,0,1,-2557,ea2e,ea1b
705,705,0,1,-2557,ea2e,ea1b
706,706,0,1,-2557,ea2e,ea1b
707,707,0,1,-2557,ea2e,ea1b
708,708,0,1,-2557,ea2e,ea1b
709,709,0,1,-2557,ea2e,ea1b
710,710,0,1,-2557,ea2e,ea1b
711,711,0,1,-2557,ea2e,ea1b
712,712,0,1,-2557,ea2e,ea1b
713,713,0,1,-2812,ea2e,e81e
714,714,0,1,-2812,ea2e,e81e
715,715,0,1,-2812,ea2e,e81e
716,716,0,1,-2812,e733,e71f
717,717,0,1,-2812,e733,e71f
718,718,0,1,-2812,e733,e71f
719,719,0,1,-3067,e733,e71f
720,720,0,1,-3067,e733,e71f
721,721,0,1,-3067,e733,e71f
722,722,0,1,-3067,e733,e71f
